Node	# Physical Cores	CPU	RAM	Local `/scratch`	Local `/tmp`
qb3-io13	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io14	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io15	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io18	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io19	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io20	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io21	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	64 GiB	0.4 TiB	8.0 GiB
qb3-io22	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.1 TiB	8.0 GiB
qb3-io23	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io24	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io25	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io26	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io27	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io28	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-io29	16	Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz	128 GiB	0.4 TiB	8.0 GiB
qb3-iogpu1	16	Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz	96 GiB	0.9 TiB	4.0 GiB
qb3-iogpu2	16	Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz	128 GiB	0.9 TiB	8.0 GiB
qb3-iogpu3	16	Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz	128 GiB	0.9 TiB	8.0 GiB
